Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
2/5/15,1066,628
2/6/15,954,657
2/7/15,339,290
2/8/15,840,682
2/9/15,631,1473
2/10/15,1176,1340
2/11/15,1694,1114
2/12/15,1679,1018
2/13/15,1567,892
2/14/15,794,671
2/15/15,1001,835
2/16/15,1180,1031
2/17/15,1839,1080
2/18/15,1854,1073
2/19/15,1366,855
2/20/15,539,1478
2/21/15,898,753
2/22/15,980,840
2/23/15,1775,1106
2/24/15,1693,1373
2/25/15,1527,869
2/26/15,1402,854
2/27/15,519,1219
2/28/15,1089,929
3/1/15,1003,769
3/2/15,688,1886
3/3/15,1844,1101
3/4/15,1431,1398
3/5/15,1672,1077
3/6/15,1766,1036
3/7/15,1223,1058
3/8/15,1137,969
3/9/15,786,2047
3/10/15,770,2085
3/11/15,571,1479
3/12/15,1065,1849
3/13/15,1839,1130
3/14/15,473,402
3/15/15,132,107
3/16/15,668,1956
3/17/15,657,1642
3/18/15,846,2027
3/19/15,1650,1060
3/20/15,1211,803
3/21/15,725,654
3/22/15,588,469
3/23/15,1140,889
3/24/15,1377,873
3/25/15,1225,815
3/26/15,2059,1437
3/27/15,1634,1381
3/28/15,986,810
3/29/15,842,566
3/30/15,2014,1325
3/31/15,563,1459
4/1/15,730,1697
4/2/15,1755,1073
4/3/15,1331,1280
4/4/15,1129,858
4/5/15,934,795
4/6/15,1731,1224
4/7/15,1800,1248
4/8/15,2077,1274
4/9/15,1873,1797
4/10/15,625,1594
4/11/15,707,557
4/12/15,964,737
4/13/15,1165,993
4/14/15,1242,1182
4/15/15,1908,1789
4/16/15,2080,1922
4/17/15,1815,1639
4/18/15,1328,1073
4/19/15,1519,1256
4/20/15,2342,2214
4/21/15,1661,1582
4/22/15,1724,1627
4/23/15,1247,1211
4/24/15,1158,1118
4/25/15,876,740
4/26/15,843,723
4/27/15,2125,2015
4/28/15,1405,1340
4/29/15,1709,1728
4/30/15,1794,1814
5/1/15,2145,2079
5/2/15,1209,1006
5/3/15,1257,978
5/4/15,2266,2254
5/5/15,1323,1282
5/6/15,2176,2055
5/7/15,2525,2391
5/8/15,2248,2204
5/9/15,1435,1318
5/10/15,1082,876
5/11/15,1849,1827
5/12/15,1777,1876
5/13/15,1366,1341
5/14/15,1933,1878
5/15/15,2815,2238
5/16/15,888,767
5/17/15,1095,916
5/18/15,2410,2435
5/19/15,2428,2444
5/20/15,2293,2287
5/21/15,2415,2353
5/22/15,1835,1833
5/23/15,804,776
5/24/15,949,827
5/25/15,930,807
5/26/15,2090,2164
5/27/15,2425,2346
5/28/15,2582,2560
5/29/15,2273,2275
5/30/15,1238,1070
5/31/15,1180,1071
6/1/15,1515,1474
6/2/15,1487,1591
6/3/15,1827,1831
6/4/15,2324,2313
6/5/15,2115,2218
6/6/15,1268,1207
6/7/15,1337,1150
6/8/15,2195,2280
6/9/15,2439,2496
6/10/15,2477,2500
6/11/15,2318,2401
6/12/15,1921,1848
6/13/15,1424,1264
6/14/15,1430,1126
6/15/15,2266,2315
6/16/15,2170,2381
6/17/15,2295,2416
6/18/15,2148,2136
6/19/15,1683,1734
6/20/15,1165,1158
6/21/15,1169,1001
6/22/15,2234,2222
6/23/15,2501,2497
6/24/15,2393,2332
6/25/15,2346,2363
6/26/15,1929,1940
6/27/15,1163,1047
6/28/15,1090,1011
6/29/15,2148,2033
6/30/15,2299,2356
7/1/15,2312,2339
7/2/15,1970,1967
7/3/15,1223,1090
7/4/15,1247,1196
7/5/15,1008,911
7/6/15,1999,2067
7/7/15,2314,2321
7/8/15,2403,2358
7/9/15,2221,2258
7/10/15,1876,1896
7/11/15,1068,985
7/12/15,1096,941
7/13/15,1973,2096
7/14/15,2349,2446
7/15/15,2260,2426
7/16/15,2162,2262
7/17/15,1877,1936
7/18/15,1107,1088
7/19/15,1017,946
7/20/15,2017,2196
7/21/15,2102,2166
7/22/15,2205,2443
7/23/15,2134,2225
7/24/15,1664,1964
7/25/15,731,653
7/26/15,770,682
7/27/15,1953,2149
7/28/15,2274,2441
7/29/15,2277,2457
7/30/15,2131,2248
7/31/15,1905,1982
8/1/15,1153,1066
8/2/15,953,930
8/3/15,2068,2175
8/4/15,2283,2372
8/5/15,1971,2137
8/6/15,2090,2205
8/7/15,2000,2100
8/8/15,1026,988
8/9/15,1195,1750
8/10/15,1891,2007
8/11/15,2211,2319
8/12/15,2143,2260
8/13/15,2133,2295
8/14/15,1025,1037
8/15/15,830,872
8/16/15,1213,1120
8/17/15,2146,2173
8/18/15,2183,2325
8/19/15,2185,2363
8/20/15,1833,2013
8/21/15,1797,1809
8/22/15,1116,974
8/23/15,1073,943
8/24/15,1979,2093
8/25/15,2228,2245
8/26/15,2096,2235
8/27/15,2149,2187
8/28/15,1300,1353
8/29/15,365,334
8/30/15,672,541
8/31/15,1310,1513
9/1/15,1393,1483
9/2/15,1745,1867
9/3/15,1532,1627
9/4/15,1425,1512
9/5/15,826,770
9/6/15,466,425
9/7/15,1107,898
9/8/15,1733,1932
9/9/15,2070,2243
9/10/15,1961,2069
9/11/15,1863,1898
9/12/15,1178,1013
9/13/15,648,679
9/14/15,1615,1669
9/15/15,1795,1862
9/16/15,1782,1949
9/17/15,1160,1293
9/18/15,1461,1539
9/19/15,981,853
9/20/15,712,591
9/21/15,1824,1981
9/22/15,2190,2361
9/23/15,2270,2292
9/24/15,2086,2235
9/25/15,1314,1370
9/26/15,899,869
9/27/15,895,676
9/28/15,1907,1955
9/29/15,2097,2239
9/30/15,1992,2063
10/1/15,2022,2079
10/2/15,1477,1540
10/3/15,911,828
10/4/15,1100,875
10/5/15,1986,2067
10/6/15,1902,1983
10/7/15,1131,1228
10/8/15,1769,1819
10/9/15,1503,1616
10/10/15,301,238
10/11/15,785,663
10/12/15,1664,1754
10/13/15,1721,1739
10/14/15,1768,1838
10/15/15,1852,1921
10/16/15,1756,1709
10/17/15,717,628
10/18/15,431,406
10/19/15,1463,1558
10/20/15,1871,1924
10/21/15,1711,1781
10/22/15,1766,1840
10/23/15,1497,1590
10/24/15,632,556
10/25/15,489,413
10/26/15,1153,1212
10/27/15,1826,1929
10/28/15,1269,1305
10/29/15,1456,1551
10/30/15,999,991
10/31/15,260,234
11/1/15,522,267
11/2/15,3024,1472
11/3/15,3304,1606
11/4/15,3432,1714
11/5/15,2927,1445
11/6/15,2499,1213
11/7/15,525,260
11/8/15,681,363
11/9/15,2299,1091
11/10/15,3357,1608
11/11/15,2629,1258
11/12/15,2575,1265
11/13/15,1612,779
11/14/15,405,207
11/15/15,833,463
11/16/15,2403,1161
11/17/15,1788,883
11/18/15,2927,1431
11/19/15,2937,1420
11/20/15,2520,1217
11/21/15,1119,617
11/22/15,958,525
11/23/15,2278,1096
11/24/15,1952,905
11/25/15,2016,972
11/26/15,532,259
11/27/15,882,461
11/28/15,798,439
11/29/15,605,293
11/30/15,2329,1132
12/1/15,1259,1339
12/2/15,1200,1315
12/3/15,910,974
12/4/15,1113,1155
12/5/15,221,187
12/6/15,236,244
12/7/15,1013,1028
12/8/15,855,901
12/9/15,1085,1135
12/10/15,881,960
12/11/15,992,1065
12/12/15,225,222
12/13/15,256,234
12/14/15,1243,1278
12/15/15,1191,1239
12/16/15,1208,1228
12/17/15,821,837
12/18/15,842,866
12/19/15,442,366
12/20/15,273,239
12/21/15,616,659
12/22/15,777,858
12/23/15,602,617
12/24/15,306,286
12/25/15,150,114
12/26/15,250,238
12/27/15,100,102
12/28/15,594,612
12/29/15,744,764
12/30/15,731,729
12/31/15,536,529
1/1/16,562,316
1/2/16,733,396
1/3/16,444,231
1/4/16,1801,860
1/5/16,2078,974
1/6/16,2684,1340
1/7/16,2582,1280
1/8/16,2384,1195
1/9/16,960,517
1/10/16,993,562
1/11/16,2154,1050
1/12/16,1978,961
1/13/16,1806,856
1/14/16,2623,1316
1/15/16,1912,941
1/16/16,574,290
1/17/16,402,186
1/18/16,1708,864
1/19/16,2359,1130
1/20/16,2588,1233
1/21/16,1368,674
1/22/16,2160,1055
1/23/16,418,197
1/24/16,1052,605
1/25/16,2968,1511
1/26/16,2168,1042
1/27/16,2350,1147
1/28/16,2093,975
1/29/16,1989,985
1/30/16,1027,558
1/31/16,815,431
2/1/16,1321,1406
2/2/16,1517,1617
2/3/16,1106,1181
2/4/16,1122,1199
2/5/16,1045,1056
2/6/16,481,403
2/7/16,524,486
2/8/16,1547,1613
2/9/16,1693,1762
